driver_id,risk_level,reputation,latitude,longitude
0002a9da2932f75a1d5f12fc99ea9945,2,3.5,-37.81333391,144.9759515
0003bf704c5549109b8379e8d0dcb68d,2,3.6,-37.81050978,144.9534366
0005c42f45ff69728cafba368569597e,1,3.7,-37.8075403,144.9755819
000dd90b5394f0979904c9ae65202da3,1,3.8,-37.80720846,144.9566478
0010f62eb80ddb2885d38edccfd96d8e,2,3.2,-37.81705821,144.9665587
0011076352bb1288753bb0ef0a6deb23,1,4,-37.80869047,144.9751513
0011740700ed95c9c04f1e9e7871c78b,1,2.5,-37.81389644,144.9725688
0014cd061702caf3639d1e81eb319353,1,3.6,-37.81448001,144.9601922
001b77deef374bc6104645e88cc12c7f,1,3.7,-37.81422757,144.9585812
0022bf8d970efb7161a518d8c5c4914e,1,3.1,-37.81259489,144.9509001
0023fc0a7c027877a65ea9186baa91a1,1,3.1,-37.81631375,144.953405
00296fed993d6a4b35da09b6206e0b6d,2,3.5,-37.81851678,144.9738168
00307f0abf907bd5d74bf9b8fa6ecbd5,1,4,-37.80689333,144.969754
003815127d34c221ae70c222a5ce7774,2,3.8,-37.81716441,144.9679513
003ec2bab4d4d02c44a1f23ac4ffad46,2,4,-37.82230324,144.9532417
0041ed72f6a3a78a32f8a749c7785817,1,3.6,-37.80628537,144.9547304
0041f87979781883e4dbaa96f6b09ce4,2,4,-37.81249324,144.9611667
0049cb3ab5dadc5aecc553c5c1581036,1,3.7,-37.82247571,144.9633213
004a94ef670475949ec0b4f4b9df5c3a,1,3.8,-37.81922898,144.9697145
00501e703a385e756ea20dc85d85fd1d,1,3.8,-37.81966776,144.9646768
0051475875efa8bf7de3eab648c4a3d5,1,3.6,-37.81871143,144.9561204
0056f2c939b6af8fc3f72d5ca7bcc73c,1,3.2,-37.80783798,144.9537146
005710cebb60120b4143c712ee077dc7,2,3.8,-37.82145224,144.9764894
0057b208b1d5d56abe9606c26412fc1b,1,4,-37.80684541,144.9747863
005a75273d1100916c46e491fe5316b9,1,3.3,-37.82125608,144.9578717
005b134ffe93dca2482fc49ea6c8cbb0,1,3.4,-37.80905677,144.9685762
005be2cff31e398b468a47db14e0114b,1,3.8,-37.82195287,144.9651916
005cd3f0117f299f57aff2d858f9f1ff,1,3.6,-37.8073837,144.9557046
005d2d8907a5671f0cd4a70e7073e320,3,3.8,-37.81222695,144.9612002
006012e5056f7dc6be35544334b65387,2,3.6,-37.80749606,144.9618992
006498f0fc44bc238bd0ab74ada0fd1a,2,3.7,-37.80780888,144.9682108
006590f7b8d0c20508f76ab1650d47ed,2,3.5,-37.81540372,144.9641447
0067896af4cf7f0497641cbf618d499b,3,3.9,-37.81421617,144.9732652
006841bb38ffa00836d5c05222376cc2,3,3.6,-37.81417099,144.9720745
006a9a4f9f2dc46e5e557b679bd52a22,3,3.8,-37.81883718,144.9577374
006b0456c1d7775256538771842bd044,1,3.8,-37.82153478,144.9559313
00712b93d983e85fd823e0025c153f9f,1,4,-37.81025588,144.9681315
007a5e0ddc3ce6caf2132b7e3eb81b21,1,3.6,-37.81044912,144.9654273
007a99d89a0e3cef2f37c0fe9817d77a,1,3.8,-37.82026147,144.9555428
007b23fb33783fe2944ebbb96dea51b8,2,4,-37.81813029,144.9564363
007f2971f404975a94803460d0257910,1,3.4,-37.80856606,144.9710251
0080ba5baf19ebfdbd3378b962a974c0,3,3.3,-37.8091008,144.9563862
0082997baf42fb7933088c8eb591eba5,1,2.9,-37.82086651,144.960439
0082e966bea726e5ae7fef86e5e69722,2,4,-37.82011315,144.9674737
0083a7825803476f2d81402dfec9623f,1,3.3,-37.81457452,144.9592172
008521f6cf36a60fd960f4978f76df3f,1,4,-37.80963947,144.9559552
0085241f8e75d6efe2c84e3b1e723753,3,3.8,-37.81095209,144.9599864
008668b18c7190e6f5dc2f884f7fc7ed,2,4,-37.81037284,144.9565949
0088b5f39750cbd2587277a0834d4001,1,3.5,-37.82058546,144.9685174
0088ef5fc5fb845d5589bd2db016febd,1,3.8,-37.81930464,144.9741467
008d06e8d3a73ddd539a49d47b9f36d4,1,3.3,-37.80555091,144.951494
00901989e6aaec253e83e4e255db3174,2,3.3,-37.82204208,144.9508612
0091e749f34aa389552bfe54b6d3f1b2,2,3.4,-37.81656426,144.9765256
00927cf41d46f7ecd9b0a373fe963bc2,2,3.4,-37.81987877,144.976132
0098a142b0df3c7b0b2bb1195488082f,1,4,-37.82283418,144.9527226
009db9ae5e03f6119e1abdcf5526cc88,1,4,-37.80622364,144.9682893
009e8a90b0608f06ee4bb3f8ad3401a7,1,3,-37.81688955,144.9713976
009ef81109192465fea439e4ce5efb21,1,3.4,-37.8196968,144.972101
00a32d4437b306f500beb6578e130820,2,2.8,-37.82142015,144.9556928
00a3e7c64e99709fd21b6e807a372904,1,3.7,-37.81248534,144.9753632
00a48f6ea4c00e688a34a9c334172e20,2,4,-37.8068755,144.9564788
00a524d22ec21375fdf7e02cd1004004,1,3.2,-37.81037907,144.9662728
00a82848a5ddc8a011aaa3aa646befbd,1,3.6,-37.82161751,144.9560894
00a82d914d8a6e27a559ace5f0868f27,1,2.5,-37.8182525,144.96361
00b0f0382185ce82eacb71b1871b5cb9,2,3.8,-37.8186985,144.953089
00b25aed9ce7a14ae22fe731a5e05506,1,2.7,-37.82344229,144.9607339
00b76ee216bd91ced61abb72139d3987,2,3.2,-37.81644546,144.9515873
00b7cd0a471bceafdad1edf552349bcf,1,3.8,-37.81790814,144.9541762
00b7d6d222ea55cfdba02efcf66184ed,1,4,-37.81504459,144.968578
00c1c47cb5b0c793b63a8a2478ef2243,1,3.3,-37.82144613,144.9565785
00c2255824b0186041db656848839321,1,3.6,-37.81499617,144.9693388
00c3016fc90577ece06790f9adefb4e0,1,3.8,-37.81827397,144.9512806
00c6714cd4bfaa8a0cfb35038f4653d7,3,3.8,-37.81035012,144.9522342
00cb3a5c96cb5e77eea00c5054c94669,1,3.4,-37.81230336,144.9611628
00ccdb6ffaf2a2bd4ea343c9330fb0f8,1,3.8,-37.8068316,144.9632299
00ce2f39f83c66aee57e50bcd9f93c47,1,4,-37.8131969,144.9744529
00cf75efaa64db13e9c59677289027f0,1,3.7,-37.81652811,144.9742826
00d12b75e3f015ae6decaaf8dc569c14,1,3.7,-37.81867325,144.9745429
